timestamps,TP9,AF7,AF8,TP10,Right AUX
1757889230.126,-40.527,-37.109,101.074,-49.805,0.000
1757889230.130,-25.391,-33.203,-44.434,-45.898,0.000
1757889230.134,11.230,-33.203,-21.484,-40.039,0.000
1757889230.138,11.230,-26.855,107.910,-35.156,0.000
1757889230.142,-30.273,-26.855,59.570,-37.109,0.000
1757889230.145,-32.227,-36.621,-143.066,-30.762,0.000
1757889230.149,4.883,-38.086,-250.488,-32.227,0.000
1757889230.153,19.043,-35.156,-167.480,-35.645,0.000
1757889230.157,-29.297,-36.133,-188.477,-31.738,0.000
1757889230.161,-52.734,-39.062,-322.754,-31.250,0.000
1757889230.165,-17.090,-38.574,-99.121,-37.598,0.000
1757889230.169,6.348,-37.598,132.324,-24.414,0.000
1757889230.173,-17.578,-40.039,-6.348,-19.531,0.000
1757889230.177,-53.223,-42.969,-93.262,-30.762,0.000
1757889230.181,-38.086,-43.457,25.879,-26.855,0.000
1757889230.185,3.906,-41.504,106.934,-27.344,0.000
1757889230.188,-12.207,-45.898,-38.086,-38.574,0.000
1757889230.192,-63.965,-56.641,-287.109,-43.945,0.000
1757889230.196,-63.477,-46.387,-187.012,-39.062,0.000
1757889230.200,-21.973,-36.133,94.238,-34.668,0.000
1757889230.204,-19.531,-44.434,-74.219,-34.668,0.000
1757889230.208,-67.871,-44.922,-440.430,-45.410,0.000
1757889230.212,-87.402,-31.738,-212.402,-63.477,0.000
1757889230.216,-51.758,-30.273,71.777,-52.246,0.000
1757889230.220,-35.156,-33.203,-59.570,-40.527,0.000
1757889230.224,-73.730,-37.598,-131.348,-51.270,0.000
1757889230.228,-103.516,-41.016,8.789,-51.270,0.000
1757889230.231,-72.266,-37.109,39.062,-40.039,0.000
1757889230.235,-41.992,-36.621,-94.727,-43.945,0.000
1757889230.239,-72.754,-37.598,-267.090,-57.129,0.000
1757889230.243,-101.562,-38.086,-255.371,-48.828,0.000
1757889230.247,-82.520,-33.691,-189.453,-45.898,0.000
1757889230.251,-41.992,-33.203,-390.625,-41.992,0.000
1757889230.255,-47.363,-40.527,-313.965,-33.691,0.000
1757889230.259,-92.773,-36.133,69.336,-47.363,0.000
1757889230.263,-77.637,-36.133,-27.832,-40.039,0.000
1757889230.267,-40.039,-38.574,-164.062,-35.156,0.000
1757889230.271,-39.551,-33.203,-1.953,-34.180,0.000
1757889230.274,-64.941,-27.832,93.262,-31.738,0.000
1757889230.278,-73.242,-23.438,-41.016,-30.762,0.000
1757889230.282,-44.434,-23.438,-200.195,-20.508,0.000
1757889230.286,-32.715,-16.113,-232.910,-26.367,0.000
1757889230.290,-64.453,-11.230,-247.559,-33.691,0.000
1757889230.294,-85.938,-17.578,-366.699,-39.551,0.000
1757889230.298,-66.406,-18.066,-442.383,-42.969,0.000
1757889230.302,-24.902,-9.277,-134.766,-41.504,0.000
1757889230.306,-41.504,0.488,78.613,-46.875,0.000
1757889230.309,-84.961,0.977,-114.258,-47.852,0.000
1757889230.314,-55.176,0.977,-256.348,-46.875,0.000
1757889230.317,-11.719,1.465,-18.066,-46.387,0.000
1757889230.321,-23.926,-1.953,-91.309,-36.621,0.000
