timestamps,TP9,AF7,AF8,TP10,Right AUX
1757890406.867,33.691,-36.621,76.660,-13.672,0.000
1757890406.871,-64.941,-37.598,-104.492,-28.320,0.000
1757890406.875,-94.727,-39.062,-226.562,-40.039,0.000
1757890406.879,6.836,-23.926,-31.738,-20.508,0.000
1757890406.883,57.129,-22.461,45.898,-6.348,0.000
1757890406.887,-48.340,-43.945,-238.281,-24.414,0.000
1757890406.891,-97.656,-46.387,-399.902,-24.902,0.000
1757890406.894,-13.184,-30.273,-189.941,-10.254,0.000
1757890406.898,50.293,-22.949,-16.602,3.418,0.000
1757890406.902,-20.508,-31.738,-119.629,-11.719,0.000
1757890406.906,-101.074,-38.574,-232.422,-26.367,0.000
1757890406.910,-48.340,-30.762,-0.488,1.465,0.000
1757890406.914,36.621,-32.227,77.148,10.254,0.000
1757890406.918,-2.930,-41.992,-89.844,-1.953,0.000
1757890406.922,-94.727,-48.828,-169.922,-14.648,0.000
1757890406.926,-90.820,-41.504,-35.645,-20.020,0.000
1757890406.930,4.883,-37.598,53.223,-13.672,0.000
1757890406.933,22.461,-48.340,-162.109,-9.766,0.000
1757890406.937,-89.355,-59.082,-302.734,-20.996,0.000
1757890406.941,-113.281,-48.828,-187.988,-20.020,0.000
1757890406.945,-16.602,-41.992,-138.672,-4.883,0.000
1757890406.949,20.996,-58.105,-270.508,4.395,0.000
1757890406.953,-68.848,-47.363,-164.062,-8.301,0.000
1757890406.957,-132.812,-33.203,48.828,-28.809,0.000
1757890406.961,-58.594,-43.457,-7.812,-23.438,0.000
1757890406.965,31.250,-44.922,-76.172,-9.277,0.000
1757890406.969,-24.414,-33.691,1.465,-13.184,0.000
1757890406.973,-117.188,-33.691,77.148,-31.738,0.000
1757890406.976,-88.379,-46.875,-57.617,-29.297,0.000
1757890406.980,0.488,-50.781,-272.461,-5.371,0.000
1757890406.984,-25.879,-37.109,-202.148,-18.066,0.000
1757890406.988,-115.234,-27.344,-8.301,-41.504,0.000
1757890406.992,-113.281,-38.086,-184.570,-37.109,0.000
1757890406.996,-16.113,-45.410,-323.730,-19.043,0.000
1757890407.000,16.113,-30.762,35.645,-8.789,0.000
1757890407.004,-80.566,-36.621,19.043,-18.555,0.000
1757890407.008,-136.230,-47.363,-159.180,-36.133,0.000
1757890407.012,-42.969,-33.691,-23.438,-29.785,0.000
1757890407.016,27.832,-28.320,94.238,-21.484,0.000
1757890407.020,-57.129,-33.203,2.930,-36.133,0.000
1757890407.023,-126.465,-31.250,-179.199,-60.059,0.000
1757890407.027,-59.570,-39.551,-246.582,-49.316,0.000
1757890407.031,22.461,-40.039,-208.008,-35.645,0.000
1757890407.035,-25.391,-30.762,-207.031,-46.875,0.000
1757890407.039,-125.977,-41.016,-413.086,-53.711,0.000
1757890407.043,-93.750,-41.992,-336.426,-49.316,0.000
1757890407.047,19.043,-30.762,70.801,-38.574,0.000
1757890407.051,4.883,-37.109,12.695,-40.039,0.000
1757890407.055,-90.820,-34.180,-155.762,-56.152,0.000
1757890407.059,-102.051,-28.809,-134.766,-59.082,0.000
1757890407.063,-15.137,-36.133,-154.297,-47.852,0.000
1757890407.066,13.184,-35.156,-240.723,-42.969,0.000
1757890407.070,-83.496,-30.762,-267.578,-58.594,0.000
1757890407.074,-137.207,-35.645,-303.711,-67.871,0.000
1757890407.078,-38.086,-41.992,-152.344,-46.387,0.000
1757890407.082,30.273,-50.781,-177.734,-40.039,0.000
1757890407.086,-61.523,-48.828,-392.578,-50.293,0.000
1757890407.090,-131.836,-30.762,-147.949,-65.918,0.000
1757890407.094,-69.336,-30.762,25.391,-60.547,0.000
1757890407.097,25.879,-37.109,-76.660,-39.551,0.000
1757890407.102,-9.766,-35.645,-79.102,-43.457,0.000
1757890407.106,-111.816,-31.738,65.918,-64.941,0.000
1757890407.109,-84.473,-32.715,37.598,-61.523,0.000
1757890407.113,20.020,-36.621,-59.570,-29.297,0.000
1757890407.117,15.137,-32.227,-168.457,-33.203,0.000
1757890407.121,-88.867,-26.367,-242.188,-54.688,0.000
1757890407.125,-112.305,-28.809,-212.891,-51.270,0.000
1757890407.129,-19.531,-43.457,-384.277,-35.645,0.000
1757890407.133,16.113,-32.715,-328.613,-33.691,0.000
1757890407.137,-69.336,-18.555,42.480,-61.035,0.000
1757890407.140,-132.324,-27.832,-14.648,-71.777,0.000
1757890407.144,-61.035,-25.879,-122.070,-50.293,0.000
1757890407.148,11.719,-30.762,6.348,-39.551,0.000
1757890407.152,-43.457,-40.039,78.125,-58.594,0.000
1757890407.156,-115.234,-42.480,-129.395,-75.684,0.000
1757890407.160,-74.707,-36.133,-173.340,-64.453,0.000
1757890407.164,12.207,-33.691,52.734,-46.875,0.000
1757890407.168,-20.996,-42.969,-113.770,-47.363,0.000
1757890407.172,-120.605,-39.551,-386.230,-62.012,0.000
1757890407.176,-113.770,-31.250,-388.184,-61.035,0.000
1757890407.180,-14.648,-21.484,-37.109,-46.387,0.000
1757890407.183,3.906,-21.484,106.934,-50.781,0.000
1757890407.187,-95.703,-30.273,-126.953,-63.965,0.000
1757890407.191,-139.648,-29.785,-202.637,-64.941,0.000
1757890407.195,-48.828,-30.273,27.832,-47.852,0.000
1757890407.199,19.531,-35.645,73.242,-37.598,0.000
1757890407.203,-60.547,-33.691,-95.215,-54.688,0.000
1757890407.207,-133.789,-31.738,-148.926,-71.777,0.000
1757890407.211,-60.059,-32.715,-67.871,-62.012,0.000
1757890407.215,20.020,-38.086,-142.578,-41.992,0.000
1757890407.219,-46.387,-46.875,-414.551,-37.598,0.000
1757890407.222,-133.301,-42.969,-404.297,-57.617,0.000
1757890407.226,-70.312,-32.715,-22.949,-58.105,0.000
1757890407.230,31.738,-38.574,-101.074,-29.297,0.000
1757890407.234,-1.465,-35.156,-229.004,-44.434,0.000
1757890407.238,-107.910,-36.621,-157.715,-71.289,0.000
1757890407.242,-115.723,-40.039,-2.930,-70.801,0.000
1757890407.246,-12.207,-34.668,2.441,-53.711,0.000
1757890407.250,3.418,-36.133,-150.391,-46.875,0.000
1757890407.254,-100.098,-41.016,-26.855,-57.129,0.000
1757890407.258,-132.812,-39.551,60.059,-65.918,0.000
1757890407.262,-48.340,-48.828,-194.336,-38.574,0.000
1757890407.265,4.395,-51.270,-391.602,-14.648,0.000
1757890407.269,-68.848,-28.809,-116.211,-26.855,0.000
1757890407.273,-131.836,-26.855,71.289,-42.969,0.000
1757890407.277,-63.965,-27.832,-119.629,-40.527,0.000
1757890407.281,34.180,-23.438,-214.355,-20.508,0.000
1757890407.285,-9.277,-21.973,-104.492,-19.531,0.000
1757890407.289,-112.305,-27.344,-120.117,-28.320,0.000
1757890407.293,-94.238,-38.086,-139.160,-32.227,0.000
1757890407.297,13.184,-28.320,-50.781,-15.625,0.000
1757890407.301,9.277,-26.855,61.035,-19.531,0.000
1757890407.304,-89.844,-28.320,-21.484,-39.551,0.000
1757890407.308,-115.234,-34.180,-216.309,-39.551,0.000
1757890407.312,-28.809,-46.387,-252.930,-38.086,0.000
1757890407.316,25.879,-37.109,-168.457,-24.902,0.000
1757890407.320,-62.012,-30.762,-176.758,-33.691,0.000
1757890407.324,-120.605,-38.574,-275.879,-49.805,0.000
1757890407.328,-43.457,-34.180,-63.965,-30.273,0.000
1757890407.332,22.949,-28.320,82.520,-9.766,0.000
1757890407.336,-44.434,-30.762,-15.625,-17.090,0.000
1757890407.340,-117.188,-34.668,-212.891,-33.691,0.000
1757890407.344,-62.988,-31.738,-253.906,-29.785,0.000
1757890407.347,26.367,-27.344,26.367,-11.230,0.000
1757890407.351,-12.207,-37.109,-68.359,-14.160,0.000
1757890407.355,-113.770,-43.457,-357.910,-29.785,0.000
1757890407.359,-87.402,-23.926,-248.535,-23.926,0.000
1757890407.363,26.855,-18.066,23.926,-9.766,0.000
1757890407.367,25.391,-38.574,-178.711,-12.695,0.000
1757890407.371,-79.590,-45.898,-406.738,-32.715,0.000
1757890407.375,-101.074,-30.273,-127.441,-42.480,0.000
1757890407.378,-8.789,-30.762,7.324,-21.973,0.000
1757890407.383,34.180,-43.457,-46.387,-10.742,0.000
1757890407.387,-52.734,-42.480,-140.137,-37.598,0.000
1757890407.390,-113.281,-32.227,-9.277,-42.969,0.000
1757890407.394,-36.621,-35.645,25.391,-19.531,0.000
1757890407.398,50.781,-42.969,-149.902,-9.277,0.000
1757890407.402,-16.602,-39.062,-263.672,-27.832,0.000
1757890407.406,-105.957,-38.574,-263.672,-42.480,0.000
1757890407.410,-63.965,-36.133,-200.684,-39.551,0.000
1757890407.414,14.648,-48.828,-363.770,-30.762,0.000
1757890407.418,-8.789,-43.945,-318.848,-28.809,0.000
1757890407.422,-94.727,-27.832,45.410,-39.551,0.000
1757890407.425,-86.426,-35.645,-2.441,-38.086,0.000
1757890407.430,10.254,-41.992,-111.816,-21.484,0.000
1757890407.434,33.203,-33.203,-15.625,-13.672,0.000
1757890407.437,-63.965,-20.508,58.594,-37.109,0.000
1757890407.441,-122.559,-38.086,-108.887,-50.781,0.000
1757890407.445,-27.832,-40.527,-180.176,-31.738,0.000
1757890407.449,26.855,-31.738,-168.945,-17.578,0.000
1757890407.453,-71.289,-38.574,-212.402,-30.273,0.000
1757890407.457,-135.742,-39.551,-313.965,-33.203,0.000
1757890407.461,-66.895,-38.574,-378.418,-24.902,0.000
1757890407.465,24.902,-27.832,-6.348,-12.207,0.000
1757890407.468,-23.438,-24.414,107.422,-21.484,0.000
1757890407.472,-120.117,-29.785,-109.863,-39.062,0.000
1757890407.476,-88.379,-27.832,-104.004,-31.738,0.000
1757890407.480,18.066,-24.414,82.520,-20.020,0.000
1757890407.484,13.184,-27.344,32.715,-18.555,0.000
