timestamps,TP9,AF7,AF8,TP10,Right AUX
1757698453.751,-404.785,-57.617,-690.430,-246.094,0.000
1757698453.755,-2.930,-19.531,-71.289,-56.152,0.000
1757698453.759,399.414,-7.324,344.727,198.730,0.000
1757698453.763,-50.781,-44.922,-188.965,3.418,0.000
1757698453.767,-425.293,-52.734,-562.012,-229.004,0.000
1757698453.771,-165.039,-30.273,-334.473,-137.695,0.000
1757698453.775,370.605,-9.277,192.871,164.551,0.000
1757698453.779,128.418,-41.992,-262.695,104.004,0.000
1757698453.783,-375.977,-44.922,-585.938,-196.777,0.000
1757698453.786,-278.809,-25.391,-346.680,-197.266,0.000
1757698453.790,270.020,-9.766,184.570,100.098,0.000
1757698453.794,289.062,-14.160,273.438,166.016,0.000
1757698453.798,-275.391,-41.016,-338.867,-127.441,0.000
1757698453.802,-361.328,-37.598,-497.559,-221.680,0.000
1757698453.806,128.906,-14.160,-39.062,22.461,0.000
1757698453.810,389.160,-14.648,266.113,210.938,0.000
1757698453.814,-149.902,-43.457,-283.691,-53.223,0.000
1757698453.818,-421.875,-52.246,-588.867,-238.770,0.000
1757698453.822,-54.199,-36.621,-320.801,-58.594,0.000
1757698453.825,400.879,-4.395,159.668,212.891,0.000
1757698453.829,10.254,-20.508,-34.668,32.227,0.000
1757698453.833,-393.555,-44.922,-511.230,-223.633,0.000
1757698453.837,-201.172,-35.156,-458.984,-173.340,0.000
1757698453.841,328.613,-5.859,208.496,115.723,0.000
1757698453.845,159.668,-22.949,180.176,85.449,0.000
1757698453.849,-369.141,-58.594,-435.547,-202.148,0.000
1757698453.853,-321.777,-48.340,-457.520,-216.797,0.000
1757698453.857,213.867,-3.906,219.727,64.453,0.000
1757698453.861,319.824,-9.277,302.246,174.805,0.000
1757698453.865,-247.070,-57.129,-408.691,-112.793,0.000
1757698453.868,-393.066,-58.594,-632.324,-232.422,0.000
1757698453.872,70.801,-8.301,-73.242,-15.625,0.000
1757698453.876,397.461,14.160,385.254,199.707,0.000
1757698453.880,-108.398,-37.109,-242.188,-30.273,0.000
1757698453.884,-426.758,-51.758,-699.707,-230.469,0.000
1757698453.888,-106.934,-4.883,-210.938,-96.680,0.000
1757698453.892,393.066,12.695,355.957,186.523,0.000
1757698453.896,64.453,-22.949,-81.543,61.523,0.000
1757698453.900,-397.949,-45.898,-571.289,-203.613,0.000
1757698453.904,-239.258,-30.762,-433.105,-158.691,0.000
1757698453.908,326.172,12.207,257.812,143.066,0.000
1757698453.911,247.070,-11.719,103.516,157.715,0.000
1757698453.915,-306.641,-41.504,-526.855,-142.090,0.000
1757698453.919,-325.195,-21.484,-479.980,-202.148,0.000
1757698453.923,195.312,9.277,109.863,64.941,0.000
1757698453.927,374.512,-3.418,244.141,206.543,0.000
1757698453.931,-187.988,-40.039,-321.777,-83.496,0.000
1757698453.935,-393.066,-35.645,-521.973,-231.445,0.000
1757698453.939,20.508,-8.301,-105.469,-27.344,0.000
1757698453.943,408.203,-2.441,285.645,222.168,0.000
1757698453.947,-43.457,-32.715,-133.789,10.254,0.000
1757698453.951,-410.645,-43.457,-518.066,-222.656,0.000
1757698453.954,-148.926,-27.344,-313.965,-112.305,0.000
1757698453.958,373.535,-10.742,167.480,185.059,0.000
1757698453.962,120.605,-26.367,-70.312,95.215,0.000
1757698453.966,-371.582,-34.668,-463.379,-196.777,0.000
1757698453.970,-267.090,-30.762,-488.281,-185.547,0.000
1757698453.974,288.086,-19.531,-106.445,114.258,0.000
1757698453.978,293.945,-8.789,222.168,155.273,0.000
1757698453.982,-268.555,-30.762,-310.059,-145.996,0.000
1757698453.986,-354.980,-41.016,-569.824,-221.191,0.000
1757698453.990,135.254,-9.766,0.000,24.414,0.000
1757698453.993,388.184,-2.930,312.500,195.801,0.000
1757698453.997,-154.297,-42.969,-333.008,-68.848,0.000
1757698454.001,-413.574,-47.852,-655.762,-243.652,0.000
1757698454.005,-41.016,-16.113,-211.914,-76.660,0.000
1757698454.009,389.648,7.812,333.984,190.430,0.000
1757698454.013,-16.113,-18.555,-58.594,15.137,0.000
1757698454.017,-412.109,-55.176,-673.340,-228.516,0.000
1757698454.021,-191.895,-32.715,-419.922,-148.438,0.000
1757698454.025,347.168,10.254,323.730,149.902,0.000
1757698454.029,162.598,-27.832,108.398,105.957,0.000
1757698454.033,-354.492,-62.012,-537.109,-184.082,0.000
1757698454.036,-295.410,-33.691,-441.895,-200.195,0.000
1757698454.040,242.676,-2.441,250.977,81.055,0.000
1757698454.044,318.848,-16.602,262.695,174.805,0.000
1757698454.048,-246.582,-45.410,-358.398,-118.652,0.000
1757698454.052,-383.301,-48.828,-586.426,-231.934,0.000
1757698454.056,91.797,-14.648,-49.805,-11.230,0.000
1757698454.060,405.762,-3.418,341.797,200.684,0.000
1757698454.064,-118.652,-62.988,-452.148,-32.227,0.000
1757698454.068,-424.316,-49.316,-632.324,-236.328,0.000
1757698454.072,-90.820,-10.742,-133.789,-91.309,0.000
1757698454.075,389.160,-4.883,312.012,188.965,0.000
1757698454.079,36.133,-33.203,-11.719,33.691,0.000
1757698454.083,-408.203,-55.176,-494.629,-236.816,0.000
1757698454.087,-233.887,-41.992,-429.199,-159.668,0.000
1757698454.091,315.430,-11.230,178.711,138.184,0.000
1757698454.095,217.285,-25.879,186.523,124.023,0.000
1757698454.099,-319.824,-59.082,-453.613,-157.227,0.000
1757698454.103,-330.566,-50.781,-555.176,-197.754,0.000
1757698454.107,190.918,-26.855,-7.812,76.172,0.000
1757698454.111,345.703,-19.043,234.863,208.496,0.000
1757698454.115,-219.238,-35.156,-237.305,-98.145,0.000
1757698454.119,-403.809,-42.480,-519.531,-241.699,0.000
1757698454.122,21.973,-22.461,-177.246,-32.715,0.000
1757698454.126,402.832,-1.465,352.051,202.148,0.000
1757698454.130,-63.965,-26.367,-71.289,-11.719,0.000
1757698454.134,-412.598,-44.434,-540.039,-231.445,0.000
1757698454.138,-125.977,-19.531,-292.969,-113.770,0.000
1757698454.142,370.605,10.254,269.531,176.270,0.000
1757698454.146,104.004,-16.602,-24.414,77.148,0.000
1757698454.150,-368.164,-41.504,-594.727,-191.895,0.000
1757698454.154,-250.977,-21.484,-437.988,-168.457,0.000
1757698454.158,300.293,18.066,252.930,119.629,0.000
1757698454.161,271.973,5.859,287.598,158.691,0.000
1757698454.165,-288.574,-38.574,-417.480,-133.789,0.000
1757698454.169,-344.238,-43.945,-710.938,-197.754,0.000
1757698454.173,159.180,6.836,-0.488,39.062,0.000
1757698454.177,393.555,16.113,382.812,199.219,0.000
1757698454.181,-141.602,-30.762,-300.781,-62.012,0.000
1757698454.185,-397.461,-37.109,-610.352,-233.887,0.000
1757698454.189,-22.461,-0.977,-117.188,-58.594,0.000
1757698454.193,420.410,11.230,355.469,209.473,0.000
1757698454.197,6.348,-30.273,-249.512,33.203,0.000
1757698454.201,-397.461,-33.203,-625.488,-203.125,0.000
1757698454.204,-167.480,7.812,-257.324,-128.906,0.000
1757698454.208,382.812,26.855,278.809,172.363,0.000
1757698454.212,187.500,-3.906,-20.020,132.324,0.000
1757698454.216,-335.938,-23.438,-519.531,-160.156,0.000
1757698454.220,-268.555,-5.371,-378.906,-172.852,0.000
1757698454.224,274.414,17.090,207.520,116.211,0.000
1757698454.228,330.078,2.441,181.641,201.172,0.000
1757698454.232,-228.516,-25.879,-374.023,-102.539,0.000
1757698454.236,-347.656,-29.785,-485.352,-201.660,0.000
1757698454.240,128.906,-12.695,-106.934,51.270,0.000
1757698454.244,416.504,-15.137,56.641,242.676,0.000
1757698454.247,-114.746,-25.391,-291.016,-41.016,0.000
1757698454.251,-401.855,-29.297,-505.859,-244.141,0.000
1757698454.255,-65.918,-22.461,-239.258,-87.402,0.000
1757698454.259,404.297,8.301,338.379,197.754,0.000
1757698454.263,42.969,-15.137,17.090,46.387,0.000
1757698454.267,-386.719,-45.410,-488.770,-217.285,0.000
1757698454.271,-206.543,-31.738,-372.559,-157.227,0.000
1757698454.275,341.309,-1.953,250.488,145.020,0.000
1757698454.279,229.492,-25.391,123.535,136.230,0.000
1757698454.283,-317.383,-40.039,-419.434,-163.086,0.000
1757698454.286,-310.547,-37.598,-534.668,-199.219,0.000
1757698454.290,214.355,-12.207,-28.809,73.730,0.000
1757698454.294,347.656,4.883,321.777,194.824,0.000
1757698454.298,-209.473,-31.738,-279.785,-84.473,0.000
1757698454.302,-381.348,-55.176,-670.410,-218.750,0.000
1757698454.306,49.316,-22.461,-121.582,-17.578,0.000
1757698454.310,409.668,-5.371,383.301,216.309,0.000
1757698454.314,-59.570,-40.527,-124.023,0.488,0.000
1757698454.318,-397.461,-55.664,-569.336,-219.727,0.000
1757698454.322,-114.258,-31.738,-276.367,-104.492,0.000
1757698454.326,391.602,-9.766,330.078,186.523,0.000
1757698454.329,95.215,-42.480,16.602,76.660,0.000
1757698454.333,-385.742,-74.707,-565.918,-204.102,0.000
1757698454.337,-259.766,-50.781,-421.387,-178.223,0.000
1757698454.341,288.574,-5.859,272.949,122.070,0.000
1757698454.345,255.371,-33.203,165.527,155.762,0.000
1757698454.349,-289.551,-70.312,-575.684,-132.324,0.000
1757698454.353,-338.867,-35.645,-522.461,-207.031,0.000
1757698454.357,164.062,-1.465,112.305,45.410,0.000
1757698454.361,381.836,-14.160,274.902,210.938,0.000
1757698454.365,-159.668,-45.410,-337.891,-66.406,0.000
1757698454.369,-385.742,-46.387,-604.004,-230.469,0.000
1757698454.372,8.789,-22.461,-173.340,-43.945,0.000
1757698454.376,411.621,-7.324,293.945,211.914,0.000
1757698454.380,-19.043,-40.527,-213.379,17.090,0.000
1757698454.384,-397.461,-45.410,-567.871,-223.633,0.000
1757698454.388,-163.086,-14.160,-267.090,-140.137,0.000
1757698454.392,366.699,-7.812,232.422,165.527,0.000
1757698454.396,150.879,-26.367,52.246,109.375,0.000
1757698454.400,-348.145,-30.273,-442.871,-187.988,0.000
1757698454.404,-271.973,-27.344,-430.664,-196.777,0.000
1757698454.408,257.324,-13.672,131.348,90.820,0.000
1757698454.412,297.363,-14.648,269.531,167.969,0.000
1757698454.415,-265.137,-41.016,-304.199,-129.395,0.000
1757698454.419,-362.793,-44.434,-534.668,-224.609,0.000
1757698454.423,124.512,-19.043,-71.289,20.020,0.000
1757698454.427,403.320,-12.207,276.855,209.961,0.000
1757698454.431,-116.211,-37.109,-235.840,-50.293,0.000
1757698454.435,-396.973,-45.898,-586.426,-231.445,0.000
1757698454.439,-58.594,-38.574,-453.613,-68.848,0.000
1757698454.443,389.160,2.930,234.375,190.430,0.000
1757698454.447,15.137,-20.020,30.762,29.785,0.000
1757698454.451,-400.879,-50.293,-569.336,-217.773,0.000
1757698454.455,-220.215,-34.668,-397.949,-157.715,0.000
1757698454.458,319.336,-7.324,285.156,148.926,0.000
