timestamps,TP9,AF7,AF8,TP10,Right AUX
1757710011.310,157.715,-357.910,-245.117,120.117,0.000
1757710011.314,-192.383,-1000.000,-712.891,-135.742,0.000
1757710011.318,-188.965,-670.410,-560.059,-171.387,0.000
1757710011.322,156.738,202.148,-18.066,66.406,0.000
1757710011.326,238.770,-105.469,-162.598,184.570,0.000
1757710011.330,-130.859,-867.188,-723.633,-76.172,0.000
1757710011.334,-244.141,-494.629,-565.918,-218.750,0.000
1757710011.337,42.480,-15.137,-121.094,-21.484,0.000
1757710011.341,282.715,58.594,3.906,201.660,0.000
1757710011.345,-14.648,-451.660,-442.871,-1.953,0.000
1757710011.349,-239.746,-647.949,-555.664,-187.988,0.000
1757710011.353,-56.641,-523.926,-397.949,-63.965,0.000
1757710011.357,259.766,-81.055,16.113,194.824,0.000
1757710011.361,73.242,-413.086,-257.324,84.961,0.000
1757710011.365,-233.887,-934.082,-615.234,-148.438,0.000
1757710011.369,-141.602,-671.875,-465.820,-136.230,0.000
1757710011.373,208.984,-461.914,-246.582,105.957,0.000
1757710011.376,167.969,-367.676,-275.391,107.910,0.000
1757710011.380,-196.289,-428.711,-495.117,-168.945,0.000
1757710011.384,-223.633,-704.102,-588.379,-220.215,0.000
1757710011.388,103.027,-271.484,-154.297,31.738,0.000
1757710011.392,232.910,115.723,67.871,188.965,0.000
1757710011.396,-120.117,-517.090,-423.828,-52.734,0.000
1757710011.400,-252.441,-980.469,-678.711,-190.918,0.000
1757710011.404,9.766,-529.785,-284.668,-33.691,0.000
1757710011.408,270.508,-18.066,95.215,170.898,0.000
1757710011.412,16.113,-596.680,-371.094,3.906,0.000
1757710011.416,-247.559,-1000.000,-748.535,-210.449,0.000
1757710011.419,-106.445,-766.602,-599.121,-116.699,0.000
1757710011.423,225.098,235.352,128.906,170.898,0.000
1757710011.427,77.148,-3.906,-129.883,92.773,0.000
1757710011.431,-241.699,-893.555,-673.828,-171.387,0.000
1757710011.435,-194.336,-691.406,-467.285,-167.969,0.000
1757710011.439,147.461,91.797,73.242,62.012,0.000
1757710011.443,163.574,-2.930,-49.805,127.930,0.000
1757710011.447,-203.125,-851.562,-602.539,-113.770,0.000
1757710011.451,-272.461,-908.203,-587.402,-195.801,0.000
1757710011.455,33.203,-436.035,-190.430,12.207,0.000
1757710011.459,198.730,-183.105,6.836,150.391,0.000
1757710011.462,-140.137,-770.020,-569.336,-78.125,0.000
1757710011.466,-317.871,-818.359,-658.203,-225.586,0.000
1757710011.470,-92.773,-106.445,-139.648,-96.680,0.000
1757710011.474,175.781,107.910,108.887,103.516,0.000
1757710011.478,-81.543,-541.504,-318.359,-46.387,0.000
1757710011.482,-360.352,-814.941,-542.969,-244.141,0.000
1757710011.486,-217.773,-445.312,-326.660,-178.223,0.000
1757710011.490,116.211,-60.059,28.809,68.359,0.000
1757710011.494,-20.508,-354.004,-206.055,3.906,0.000
1757710011.498,-398.926,-721.191,-554.688,-274.902,0.000
1757710011.501,-384.766,-743.652,-509.277,-276.855,0.000
1757710011.505,-4.883,-419.434,-208.984,-13.672,0.000
1757710011.509,47.852,-456.543,-291.992,69.824,0.000
1757710011.513,-334.473,-494.141,-493.164,-198.730,0.000
1757710011.517,-417.969,-402.832,-494.629,-302.734,0.000
1757710011.521,-102.539,-215.820,-234.863,-86.914,0.000
1757710011.525,127.930,142.090,53.711,124.512,0.000
1757710011.529,-185.059,-328.125,-330.078,-63.477,0.000
1757710011.533,-411.133,-888.672,-622.559,-255.371,0.000
1757710011.537,-185.059,-553.223,-378.418,-107.910,0.000
1757710011.541,163.574,41.016,35.645,143.555,0.000
1757710011.544,-59.082,-236.816,-248.535,14.160,0.000
1757710011.548,-370.605,-740.234,-616.211,-194.824,0.000
1757710011.552,-265.625,-906.250,-586.426,-145.020,0.000
1757710011.556,118.164,-4.395,-59.082,115.723,0.000
1757710011.560,63.965,539.062,-2.441,106.445,0.000
1757710011.564,-289.551,-294.434,-550.293,-115.723,0.000
1757710011.568,-289.062,-422.363,-513.672,-136.230,0.000
1757710011.572,64.453,463.379,32.227,70.801,0.000
1757710011.576,168.457,799.316,149.902,187.988,0.000
1757710011.580,-196.777,36.133,-445.801,-34.180,0.000
1757710011.584,-300.781,-168.945,-615.723,-125.977,0.000
1757710011.587,-8.301,462.402,-165.039,48.340,0.000
1757710011.591,249.512,984.375,156.738,241.699,0.000
1757710011.595,-52.734,305.664,-425.293,85.449,0.000
1757710011.599,-295.410,-121.582,-737.305,-108.398,0.000
1757710011.603,-87.891,748.535,-227.051,-12.207,0.000
1757710011.607,261.230,-943.848,205.078,226.562,0.000
1757710011.611,78.125,654.785,-124.023,161.133,0.000
1757710011.615,-245.117,380.371,-530.762,-42.480,0.000
